site_id,name,address,block,lot,site_use_ids,source_ids,point_x,point_y
11,,1620 riggs ave,42,83,2,"3, 4, 5, 6",-76.644054,39.301228
19,,1428 w lafayette ave,76,58,2,"3, 4, 5, 6",-76.640691,39.299212
32,amazing rose street garden,"600 block of n. port st. baltimore, md",,,,"2, 4, 5, 6",-76.581358,39.298106
36,mt washington arboretum community garden,"1 tanbark dr, baltimore, md",,,,"2, 4, 5, 6",-76.65641695,39.36691464
39,,616 n mount st,109,8,2,"3, 4, 5, 6",-76.644464,39.295886
43,,2123 w saratoga st,160,12,2,"3, 4, 5, 6",-76.650933,39.291647
44,,2125 w saratoga st,160,13,2,"3, 4, 5, 6",-76.65099,39.291642
45,,2127 w saratoga st,160,14,2,"3, 4, 5, 6",-76.651034,39.291646
46,,2129 w saratoga st,160,15,2,"3, 4, 5, 6",-76.651078,39.291639
47,,2131 w saratoga st,160,16,2,"3, 4, 5, 6",-76.651135,39.291634
48,,2133 w saratoga st,160,17,2,"3, 4, 5, 6",-76.651179,39.291637
49,,2135 w saratoga st,160,18,2,"3, 4, 5, 6",-76.651223,39.291632
50,,2137 w saratoga st,160,19,2,"3, 4, 5, 6",-76.65128,39.291635
51,,2139 w saratoga st,160,20,2,"3, 4, 5, 6",-76.651324,39.29163
52,,2141 w saratoga st,160,21,2,"3, 4, 5, 6",-76.651369,39.291633
53,,2143 w saratoga st,160,22,2,"3, 4, 5, 6",-76.651425,39.291628
54,,2145 w saratoga st,160,23,2,"3, 4, 5, 6",-76.651469,39.291631
55,,233 n fulton ave,164,6,2,"3, 4, 5, 6",-76.645114,39.291754
56,,231 n fulton ave,164,7,2,"3, 4, 5, 6",-76.645113,39.291713
57,,229 n fulton ave,164,8,2,"3, 4, 5, 6",-76.645113,39.291673
58,,227 n fulton ave,164,9,2,"3, 4, 5, 6",-76.645081,39.291629
59,,219 n fulton ave,164,13,2,"3, 4, 5, 6",-76.645075,39.291435
60,,217 n fulton ave,164,14,2,"3, 4, 5, 6",-76.645071,39.291393
61,,213 n fulton ave,164,16,2,"3, 4, 5, 6",-76.645067,39.291291
62,,207 n fulton ave,164,19,2,"3, 4, 5, 6",-76.645056,39.291148
63,,202 n bruce st,164,93,2,"3, 4, 5, 6",-76.64476,39.290922
64,,204 n bruce st,164,94,2,"3, 4, 5, 6",-76.644766,39.29095
65,,206 n bruce st,164,95,2,"3, 4, 5, 6",-76.644772,39.290985
66,,208 n bruce st,164,96,2,"3, 4, 5, 6",-76.644766,39.29102
67,,210 n bruce st,164,97,2,"3, 4, 5, 6",-76.644771,39.291045
68,,212 n bruce st,164,98,2,"3, 4, 5, 6",-76.644757,39.291111
69,,214 n bruce st,164,99,2,"3, 4, 5, 6",-76.644766,39.291155
70,,216 n bruce st,164,100,2,"3, 4, 5, 6",-76.644763,39.291185
71,,218 n bruce st,164,101,2,"3, 4, 5, 6",-76.644762,39.291221
72,,220 n bruce st,164,102,2,"3, 4, 5, 6",-76.644774,39.291257
73,,222 n bruce st,164,103,2,"3, 4, 5, 6",-76.644774,39.291284
74,,224 n bruce st,164,104,2,"3, 4, 5, 6",-76.644774,39.291321
75,,226 n bruce st,164,105,2,"3, 4, 5, 6",-76.644773,39.291356
76,,228 n bruce st,164,106,2,"3, 4, 5, 6",-76.644772,39.291383
77,,230 n bruce st,164,107,2,"3, 4, 5, 6",-76.644783,39.291419
78,,232 n bruce st,164,108,2,"3, 4, 5, 6",-76.644783,39.291455
79,,234 n bruce st,164,109,2,"3, 4, 5, 6",-76.644783,39.291482
80,,236 n bruce st,164,110,2,"3, 4, 5, 6",-76.644783,39.291517
81,,238 n bruce st,164,111,2,"3, 4, 5, 6",-76.644782,39.291553
82,,240 n bruce st,164,112,2,"3, 4, 5, 6",-76.644793,39.29158
83,,242 n bruce st,164,113,2,"3, 4, 5, 6",-76.644793,39.291616
84,,244 n bruce st,164,114,2,"3, 4, 5, 6",-76.64479,39.291648
85,,246 n bruce st,164,115,2,"3, 4, 5, 6",-76.644808,39.291682
86,,248 n bruce st,164,116,2,"3, 4, 5, 6",-76.644819,39.291718
87,,250 n bruce st,164,117,2,"3, 4, 5, 6",-76.644819,39.291745
88,,252 n bruce st,164,118,2,"3, 4, 5, 6",-76.644819,39.29178
89,,254 n bruce st,164,119,2,"3, 4, 5, 6",-76.644819,39.291816
91,sunflower village,216 - 224 n. carey,168,24,"4, 8","1, 2, 4, 5, 6",-76.638699,39.291657
94,sunflower village,216 - 224 n. carey,168,52,"4, 8","1, 4, 5, 6",-76.638895,39.291434
95,sunflower village,216 - 224 n. carey,168,53,"4, 8","1, 4, 5, 6",-76.638918,39.291819
106,,31 n mount st,195,21,2,"3, 4, 5, 6",-76.643589,39.289259
107,,29 n mount st,195,22,2,"3, 4, 5, 6",-76.643592,39.28922
108,,27 n mount st,195,23,2,"3, 4, 5, 6",-76.643558,39.289157
109,,25 n mount st,195,24,2,"3, 4, 5, 6",-76.643551,39.289128
110,,23 n mount st,195,25,2,"3, 4, 5, 6",-76.643552,39.289092
111,,25 n vincent st,195,68,2,"3, 4, 5, 6",-76.642981,39.289119
112,,23 n vincent st,195,69,2,"3, 4, 5, 6",-76.642979,39.289092
113,,21 n vincent st,195,70,2,"3, 4, 5, 6",-76.642975,39.289055
114,,19 n vincent st,195,71,2,"3, 4, 5, 6",-76.642985,39.289018
115,,17 n vincent st,195,72,2,"3, 4, 5, 6",-76.642983,39.288991
116,,11 n vincent st,195,75,2,"3, 4, 5, 6",-76.642975,39.28889
117,,7 n vincent st,195,77,2,"3, 4, 5, 6",-76.64297,39.288826
118,,5 n vincent st,195,78,2,"3, 4, 5, 6",-76.642967,39.288789
119,,16 n vincent st,195,82,2,"3, 4, 5, 6",-76.64324,39.288987
120,,18 n vincent st,195,83,2,"3, 4, 5, 6",-76.643246,39.289025
121,,20 n vincent st,195,84,2,"3, 4, 5, 6",-76.64325,39.289052
122,,22 n vincent st,195,85,2,"3, 4, 5, 6",-76.643252,39.289089
123,,24 n vincent st,195,86,2,"3, 4, 5, 6",-76.643256,39.289128
124,,26 n vincent st,195,87,2,"3, 4, 5, 6",-76.643255,39.289163
125,,28 n vincent st,195,88,2,"3, 4, 5, 6",-76.643204,39.289239
126,poppleton children's & community garden,"14 n schroeder st baltimore, md",,,,"2, 4, 5, 6",-76.63406,39.289401
132,,32 s carey st,232,48,2,"3, 4, 5, 6",-76.638315,39.287097
133,,30 s carey st,232,49,2,"3, 4, 5, 6",-76.63832,39.287135
134,,28 s carey st,232,50,2,"3, 4, 5, 6",-76.638311,39.287173
143,,1015 w lombard st,251,7,2,"3, 4, 5, 6",-76.6343,39.286557
144,,1017 w lombard st,251,8,2,"3, 4, 5, 6",-76.634342,39.286551
148,301 s. calhoun street,301 s. calhoun street,281,54,"4, 5, 8, 15, 16","1, 4, 5, 6",-76.639065,39.284412
152,,2131 pennsylvania ave,307,38,2,"3, 4, 5, 6",-76.63893,39.307349
