site_id,name,address,point_x,point_y,site_use,status,drain_acres,imp_percent,imp_acres,an_runoff,retro_type,bmp_type,feasibility,dsgn_dfclt,wtrshd_bft,priority,source,oldsiteid
1,,Pep Boys Harford Rd and Moravia Rd,-76.56891258,39.34191187,Dry Swale to Replace Existing Failed Grass Channel and Treat Parking Lot Runoff,identified,0.75,100,0.75,97764.975,on site,dry swale,high,low,low,high,DPW-MS4,hr_r_21
2,,Chinquapin Ms,-76.57461707,39.33037024,Limited Retrofit Potential,identified,0,0,0,0,,,very low,,,very low,DPW-MS4,hr_r_13
3,,North Harford Recreation Center Northern Pkwy and Laurelton Ave,-76.56038427,39.36728621,Bioretention Area in Existing Landscaping Area to Treat Parking Lot Runoff,identified,1,100,1,130353.3,on site,"bioretention area, underdrain",high,medium,low,medium,DPW-MS4,hr_r_3
4,,Leith Walk Es,-76.5915542,39.36469402,,identified,0,0,0,0,,,,,,,DPW-MS4,hr_r_5
5,,Good Samaritan Hospital,-76.58624207,39.35720356,Limited Retrofit Potential,identified,0,0,0,0,,,very low,,,very low,DPW-MS4,hr_r_7
6,,Mt Pleasant Park Between Perring Pkwy Echodale Ave and Herring Run,-76.57440009,39.35342445,,identified,0,0,0,0,,,,,,,DPW-MS4,hr_r_8
7,,Mt Pleasant Park Between Echodale Ave Laurelton Ave and Herring Run,-76.57338618,39.35466505,,identified,0,0,0,0,,,,,,,DPW-MS4,hr_r_9
8,,Morgan State University,-76.583452,39.34193026,,identified,0,0,0,0,,,,,,,DPW-MS4,hr_r_11
9,,Brehms Lane Es,-76.56654167,39.32161208,Bioretention Areas in Existing Depressions to Treat Stormwater Runoff from Disturbed Pervious Area,identified,1,40,0.4,56257.74,on site,"bioretention area, underdrain",high,medium,low,medium,DPW-MS4,hr_r_14
10,,Northeast Ms,-76.5515817,39.32420187,,identified,0,0,0,0,,,,,,,DPW-MS4,hr_r_17
11,,Sinclair Lane Es,-76.56080832,39.31557288,Bioretention Area in Existing Landscaping Area to Treat Stormwater Runoff from Parking Lot and Disturbed Pervious Area,identified,5,30,1.5,219542.4,on site,"bioretention area, underdrain",medium,medium,low,medium,DPW-MS4,hr_r_18
12,,Merganthaler Vocational-technical Hs,-76.59054125,39.33227546,Dry Swale/bioretention Area in Existing Landscaping Area to Treat Parking Lot Runoff,identified,2,60,1.2,161912.52,on site,"bioretention area, underdrain",medium,low,low,medium,DPW-MS4,ti_r_1
13,,Archbishop Curley Hs,-76.56306762,39.31280255,Bioretention Area in Existing Landscaping Area to Treat Parking Lot Runoff,identified,2,100,2,260706.6,on site,"bioretention area, underdrain",medium,medium,low,low,DPW-MS4,hr_r_19
14,,Armistead Gardens Armistead Way and Hewitt Dr,-76.54962256,39.30766419,Stormwater Pond/wetland System to Treat Stormwater Runoff from Upstream Drainage Area,identified,25,40,10,1406443.5,storage,stormwater pond/wetland system,medium,high,high,medium,DPW-MS4,hr_r_20
15,,Walter P Carter Es,-76.60405654,39.34365112,Stormwater Pond/wetland System to Treat Stormwater Runoff from Upstream Drainage Area,identified,60,60,36,4857375.6,storage,stormwater pond/wetland system,medium,high,high,medium,DPW-MS4,ti_r_2
16,,Winston Ms,-76.60068482,39.34825585,,identified,0,0,0,0,,,,,,,DPW-MS4,ti_r_3
17,,Chinquapin Run Park Between Loch Raven Blvd and Perring Pkwy,-76.58958136,39.34810789,Limited Retrofit Potential,identified,0,0,0,0,,,very low,,,very low,DPW-MS4,ch_r_1
18,,Chinquapin Ms,-76.59973771,39.35516479,Limited Retrofit Potential,identified,0,0,0,0,,,very low,,,very low,DPW-MS4,ch_r_4
19,,Walter De Wees Park,-76.60344709,39.35721521,Stream Daylighting With Stormwater Pond/wetland System to Treat Stormwater Runoff from Upstream Drainage Area,identified,44,50,22,3018708,storage,stormwater pond/wetland system,low,very high,high,low,DPW-MS4,ch_r_5
20,,North of Sipple Ave at End of Mayview Terr Barbara Ave Parkwood Ave and Valley View Ave,-76.54905155,39.33066542,Stream Daylighting With Stormwater Pond/wetland System to Treat Stormwater Runoff from Upstream Drainage Area,identified,345,50,172.5,23669415,storage,stormwater pond/wetland system,low,high,high,medium,DPW-MS4,bi_r_1
