site_id,name,address,point_x,point_y,site_use,status_id,drain_acres,imp_percent,imp_acres,an_runoff,retro_type_id,bmp_type_ids,feasibility_id,dsgn_dfclt_id,wtrshd_bft_id,priority_id,source_ids
1,,pep boys harford rd and moravia rd,-76.56891258,39.34191187,dry swale to replace existing failed grass channel and treat parking lot runoff,2,0.75,100,0.75,97764.975,1,4,4,1,1,4,7
2,,chinquapin ms,-76.57461707,39.33037024,limited retrofit potential,2,0,0,0,0,,,2,,,2,7
3,,north harford recreation center northern pkwy and laurelton ave,-76.56038427,39.36728621,bioretention area in existing landscaping area to treat parking lot runoff,2,1,100,1,130353.3,1,"1, 16",4,3,1,3,7
4,,leith walk es,-76.5915542,39.36469402,,2,0,0,0,0,,,,,,,7
5,,good samaritan hospital,-76.58624207,39.35720356,limited retrofit potential,2,0,0,0,0,,,2,,,2,7
6,,mt pleasant park between perring pkwy echodale ave and herring run,-76.57440009,39.35342445,,2,0,0,0,0,,,,,,,7
7,,mt pleasant park between echodale ave laurelton ave and herring run,-76.57338618,39.35466505,,2,0,0,0,0,,,,,,,7
8,,morgan state university,-76.583452,39.34193026,,2,0,0,0,0,,,,,,,7
9,,brehms lane es,-76.56654167,39.32161208,bioretention areas in existing depressions to treat stormwater runoff from disturbed pervious area,2,1,40,0.4,56257.74,1,"1, 16",4,3,1,3,7
10,,northeast ms,-76.5515817,39.32420187,,2,0,0,0,0,,,,,,,7
11,,sinclair lane es,-76.56080832,39.31557288,bioretention area in existing landscaping area to treat stormwater runoff from parking lot and disturbed pervious area,2,5,30,1.5,219542.4,1,"1, 16",3,3,1,3,7
12,,merganthaler vocational-technical hs,-76.59054125,39.33227546,dry swale/bioretention area in existing landscaping area to treat parking lot runoff,2,2,60,1.2,161912.52,1,"1, 16",3,1,1,3,7
13,,archbishop curley hs,-76.56306762,39.31280255,bioretention area in existing landscaping area to treat parking lot runoff,2,2,100,2,260706.6,1,"1, 16",3,3,1,1,7
14,,armistead gardens armistead way and hewitt dr,-76.54962256,39.30766419,stormwater pond/wetland system to treat stormwater runoff from upstream drainage area,2,25,40,10,1406443.5,2,14,3,4,4,3,7
15,,walter p carter es,-76.60405654,39.34365112,stormwater pond/wetland system to treat stormwater runoff from upstream drainage area,2,60,60,36,4857375.6,2,14,3,4,4,3,7
16,,winston ms,-76.60068482,39.34825585,,2,0,0,0,0,,,,,,,7
17,,chinquapin run park between loch raven blvd and perring pkwy,-76.58958136,39.34810789,limited retrofit potential,2,0,0,0,0,,,2,,,2,7
18,,chinquapin ms,-76.59973771,39.35516479,limited retrofit potential,2,0,0,0,0,,,2,,,2,7
19,,walter de wees park,-76.60344709,39.35721521,stream daylighting with stormwater pond/wetland system to treat stormwater runoff from upstream drainage area,2,44,50,22,3018708,2,14,1,5,4,1,7
20,,north of sipple ave at end of mayview terr barbara ave parkwood ave and valley view ave,-76.54905155,39.33066542,stream daylighting with stormwater pond/wetland system to treat stormwater runoff from upstream drainage area,2,345,50,172.5,23669415,2,14,1,4,4,3,7
21,,hamilton es,-76.55738367,39.35967607,,2,0,0,0,0,,,,,,,7
22,,hamilton ms,-76.55477718,39.35007226,,2,0,0,0,0,,,,,,,7
23,,hazelwood es,-76.5387835,39.33839414,,2,0,0,0,0,,,,,,,7
24,,radecke playfield radecke ave and gardenwood ave,-76.53702205,39.33137815,stormwater pond/wetland system to treat stormwater runoff from upstream drainage area,2,32,40,12.8,1800247.68,2,14,4,4,4,4,7
25,,moores run park  between radecke ave and sinclair ln,-76.53378369,39.3275543,,2,0,0,0,0,,,,,,,7
