community_statistical_area_name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205
Allendale/Irvington/S. Hilton,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"$35,958",35.6125,19.4403,16.6248,12.4518,15.87,,23.1118,41.549138," $ 33,250 ",43,184,58.1,2.8091,5.7,,1.4 ,"5,589",76.5823,4.430379747,,0.18,3.58,,50.8268,51.0082,0,499.7316157,72.46376812,10.16776,55.1273,,10.1128,44.5212,,,,,NA,0.431646,NA,NA,NA,,,,892,544,794,,93.54,3.77,1.79,16.7040,17.4632,37.6574,,,,,,43.95,58.17,40.14,69.39,18.54,50.00,42.77456647,59.35828877,49.64539007,35.55555556,2.644836272,86.29441624,,9.101516919,,,,77.65748031,30.58103976,89.43,88.54625551,42.2907489,69,0.0,,10.8761,,,0.7399642351,,,,,71.3,11.4,2.6,14.9,35.2,126.7,440.3,1292.1,,,,,,,318.6162669,0.1849910588,1.048282666,0,0,,57.5861,15.7967,26.6172,21.5264,22.93,65.52,11.56,281,5.338078292,273,2666,258,58.00512328,,,0,9.15751,14.652,40.6593,,,,,168,10.3595,1316,83.04415755,36.01346668,34.40833693,3.884812234,63.8272,10.7391,21.9986,2.02984,11.6759,37.3178,23.7335,27.2727,,,,4,,,,,,,65.0746,24.5014,30.2832,,2.325997495,,,,,,,,1.40527,866,530,774,,78,211.351755,0.06166368626,1,3,2394,34.45440342
Beechfield/Ten Hills/West Hills,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"$52,623",20.0738,17.5282,20.2682,12.9421,29.19,,11.8287,22.309382," $ 130,000 ",49,117,78.7,2.4086,0.6,,2.6 ,"3,612",34.7458,1.694915254,,0.00,0.55,,37.4517,48.3589,0.553709856,577.7962348,60.35437431,2.86106,46.559,,6.93085,38.7312,,,,,NA,0.0815395,NA,NA,NA,,,,606,363,455,,94.59,2.74,1.33,11.0561,7.4380,29.8901,,,,,,48.28,60.91,51.40,82.24,30.33,61.29,59.82142857,58.73015873,68,40.90909091,1.758241758,89.42307692,,5.921450151,,,,74.6882793,18.71657754,85.88,85.87570621,58.75706215,205,0.0,,5.44051,,,0.0815394651,,,,,75.4,9.3,0.9,11.7,15.0,94.3,353.2,1365.1,,,,,,,249.5107632,0.1630789302,0.081539465,0.0815,4,,64.0085,11.5747,24.2822,15.3138,13.97,61.71,24.31,45,15.55555556,150,1530,141,58.78220141,,,0.0815395,6,16.6667,42,,,,,86,7.01239,654,85.60509554,43.12996032,13.94324853,1.549249837,76.0021,10.6716,11.3572,1.67018,12.3945,47.7321,25.756,14.1174,,,,0,,,,,,,72.5223,17.295,19.1605,,1.245847176,,,,,,,,0.298875,583,351,445,,36,166.7396061,0.2446183953,8,0,1142,16.45435244
Belair-Edison,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"$38,906",32.731,18.5476,17.5077,9.39311,21.82,,18.0640,36.929080," $ 41,975 ",39,184,61.6,3.0654,2.7,,1.9 ,"6,296",69.1542,3.482587065,,0.00,0.32,,42.6693,71.5012,0,444.4091487,58.2909784,11.27172,56.6146,,10.1631,45.418,,,,,NA,0.287092,NA,NA,NA,,,,1120,705,1035,,96.71,1.54,1.12,18.5714,12.1986,37.4879,,,,,,39.36,52.13,37.19,72.86,21.30,48.42,52.04918033,49.79253112,63.24324324,34.34343434,1.93236715,81.56862745,,7.993874426,,,,84.59869848,45.94594595,86.02,87.71186441,45.76271186,82,0.0,,10.0767,,,0.4019292605,,,,,72.9,10.8,1.7,15.0,27.1,106.0,370.7,1811.0,,,,,,,443.9595774,0.4593477262,1.722553973,0.2297,22,,58.0907,11.7107,30.1363,16.7772,17.08,67.58,15.34,163,9.202453988,237,1448,224,49.10310404,,,0.172255,4.64135,11.8143,43.038,,,,,164,9.41663,893,83.94390609,36.3397466,64.4235186,2.756086357,69.7692,7.38193,18.8751,2.91915,11.6766,38.6978,28.3509,21.2746,,,,11,,,,,,,73.5595,14.2516,29.3215,,0.09529860229,,,,,,,,1.05456,1094,692,1022,,76,420.3233256,0.6316031236,58,7,2745,41.59773103
Brooklyn/Curtis Bay/Hawkins Point,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"$35,862",33.5556,19.8384,19.7374,9.87879,16.99,,28.3508,46.943700," $ 40,000 ",36,113,43.5,2.4947,5.9,,1.0 ,"4,249",75.4237,5.084745763,,1.18,0.24,,33.0502,53.0124,0,307.3664392,53.18898564,11.30584,54.9042,,14.1122,40.0899,,,,,NA,0.21063,NA,NA,NA,,,,1038,488,525,,56.85,28.67,12.38,23.6031,27.4590,46.4762,,,,,,53.28,53.96,31.90,68.94,24.00,46.98,52.77777778,63.1147541,58.55855856,36,3.428571429,78,,8.731130151,,,,87.43961353,49.64539007,81.20,85.04273504,39.74358974,194,0.0,,12.9401,,,1.263778698,,,,,69.3,9.9,3.1,14.4,34.7,147.6,532.3,1568.0,,,,,,,307.5896932,0.3510496384,0.280839711,0.1404,8,,54.8204,15.9737,29.2059,22.5636,34.62,59.52,5.86,757,5.680317041,454,5958,421,71.31782946,,,0.14042,5.50661,13.8767,39.8678,,,,,242,16.9908,1957,55.56862745,23.67678193,81.37330619,5.406164432,54.1183,17.821,19.693,4.32422,21.565,28.8094,30.307,19.3186,,,,1,,,,,,,66.0606,28.7677,30.8687,,0.0470698988,,,,,,,,4.04343,972,453,502,,304,54.51067899,0.7020992768,36,1,7797,94.11764706
Canton,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"$91,736",9.43396,8.26468,13.1012,7.49402,61.71,,2.8244,6.521739," $ 275,000 ",30,315,66.6,0.6943,0.5,,5.3 ,"4,033",18.2836,0.3731343284,,0.50,1.49,,29.8454,33.4202,31.24225143,320.6050087,44.38383337,4.94344,46.5432,,6.2963,39.5062,,,,,NA,,NA,NA,NA,,,,97,33,29,,20.75,49.06,23.90,5.1546,12.1212,34.4828,,,,,,86.67,70.00,76.19,90.00,61.54,83.33,50,60,100,50,3.448275862,80,,1.435406699,,,,100,0,90.00,92,68.66666667,125,0.0,,0.763359,,,4.074074074,,,,,78.4,0.0,0.0,6.6,5.1,73.5,384.2,1276.3,,,,,,,284.3209877,3.456790123,0.24691358,0.6173,6,,84.7887,4.07085,10.9695,4.58122,5.56,30.74,63.7,201,12.43781095,358,2712,344,53.48890414,,,0.37037,3.35196,10.3352,38.2682,,,,,252,31.1111,2084,78.5277704,40.642978,47.90123457,3.827160494,81.6904,6.62105,4.14278,5.0675,18.0322,40.2996,26.4472,15.221,,,,0,,,,,,,62.7956,33.0322,10.0718,,0,,,,,,,,2.47827,96,33,28,,13,16.28664495,2.592592593,162,0,3451,8.636726016
Cedonia/Frankford,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"$39,306",30.0629,20.9119,19.3606,9.01468,20.65,,17.3767,25.950143," $ 78,575 ",45,262,73.1,3.1981,1.7,,2.4 ,"6,285",43.6937,1.801801802,,0.48,0.16,,43.619,58.8472,0,528.2418457,72.55369928,5.98484,52.2987,,12.82,38.842,,,,,NA,0.382052,NA,NA,NA,,,,1371,758,1103,,88.49,3.74,1.76,12.1080,9.2348,34.1795,,,,,,53.53,62.45,48.02,72.77,32.58,56.11,47.60147601,60.13289037,55.92417062,36.11111111,1.087941976,84.45378151,,7.112068966,,,,92.90444655,28.44141069,86.27,86.60130719,46.40522876,253,0.0,,7.76699,,,0.6792036337,,,,,72.7,14.5,1.4,13.3,27.1,97.9,452.5,1480.0,,,,,,,305.4718343,0.2122511355,0.127350681,0.2547,13,,64.1871,8.70355,27.0669,11.9405,17.87,67.73,14.4,231,12.98701299,434,2931,413,52.43106714,,,0.127351,8.98618,17.0507,41.2442,,,,,299,12.6926,1995,78.68345607,37.42944917,17.78664516,1.782909539,68.5335,10.994,17.884,0.950678,10.7398,38.0271,29.8758,21.3573,,,,2,,,,,,,72.0335,20.5136,25.8595,,0.1750198886,,,,,,,,1.6378,1305,733,1068,,156,132.0032245,0.4669524982,25,0,1930,21.69880263
Cherry Hill,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"$22,659",53.1771,21.3757,13.2943,4.4417,7.71,,41.7671,53.725490," $ 23,500 ",38,18,49.5,1.4228,4.9,,1.1 ,984,95.6522,4.347826087,,3.05,1.02,,41.629,43.5,0,470.5284553,74.18699187,3.66399,53.5235,,15.484,37.0641,,,,,NA,0.121921,NA,NA,NA,,,,803,430,500,,95.67,1.10,2.42,24.7821,20.9302,46.2000,,,,,,32.64,36.43,30.53,67.42,15.04,40.71,41.50943396,49.6350365,42.22222222,23.68421053,2.8,78.84615385,,10.28265107,,,,85.80508475,63.40057637,84.02,89.34911243,46.74556213,207,0.0,,19.8795,,,0.1219214826,,,,,69.8,19.9,1.7,16.1,35.9,135.4,459.7,1634.6,,,,,,,508.0468178,0.1219214826,0.731528895,0.3658,17,,52.2329,11.1443,36.6228,17.5841,22.37,69.57,8.06,93,7.52688172,144,1435,134,55.98409543,,,0,8.33333,11.8056,36.8056,,,,,95,11.5825,650,81.85437998,26.56937688,8.168739332,0.853450378,45.293,18.7146,31.2287,4.57467,16.1059,35.7278,18.4499,29.7164,,,,1,,,,,,,63.2017,31.277,51.8199,,0.1016260163,,,,,,,,0.189036,779,430,490,,369,99.64285714,0.6096074128,27,2,2450,76.98141828
Chinquapin Park/Belvedere,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"$44,253",29.4768,16.861,16.0837,10.1046,27.47,,12.4855,24.295432," $ 120,000 ",36,89,68.9,2.2685,1.6,,2.8 ,"2,689",40,2.222222222,,0.00,0.37,,31.8367,61.4719,0,483.0792116,62.84864262,5.20043,47.705,,9.02527,37.9061,,,,,NA,,NA,NA,NA,,,,367,206,272,,91.60,5.44,1.54,14.1689,12.1359,26.4706,,,,,,60.66,68.97,47.83,81.16,26.56,62.50,43.93939394,59.375,55.76923077,29.16666667,0.7352941176,80.88235294,,6.545820745,,,,83.7037037,46.41350211,84.62,89.42307692,54.80769231,180,0.0,,5.51684,,,0.644662197,,,,,75.2,10.6,0.0,10.8,18.3,101.6,321.3,1717.6,,,,,,,333.4192883,0.5157297576,0.644662197,0.3868,5,,67.5628,12.2151,20.0273,15.3114,11.51,55.9,32.59,56,32.14285714,149,1166,140,51.47444299,,,0.51573,3.3557,12.0805,38.9262,,,,,106,13.6668,840,86.59455916,41.01059803,19.21093347,3.223310985,69.4785,11.3708,15.5315,1.31091,16.6144,33.7988,27.6432,21.9436,,,,0,,,,,,,64.9925,27.145,24.843,,0.07437709186,,,,,,,,2.30835,357,195,263,,70,116.8831169,1.031459515,17,3,973,13.43821698
Claremont/Armistead,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"$34,034",35.5363,22.2347,19.3503,5.93671,16.94,,16.5018,27.562146," $ 90,000 ",57,17,85.1,1.3233,0.2,,1.4 ,"2,267",57.1429,0,,0.44,26.03,,33.8164,47.5119,0,142.9201588,19.40891045,3.73852,46.2884,,9.84085,35.9616,,,,,NA,,NA,NA,NA,,,,659,299,355,,54.91,17.36,25.74,10.1669,11.3712,37.7465,,,,,,46.15,58.16,56.03,74.78,32.61,60.87,50.64935065,57.5,52.77777778,38.88888889,1.690140845,81.15942029,,5.352644836,,,,89.25619835,45.11278195,91.72,92.3566879,50.31847134,162,0.0,,8.06871,,,0.8504434455,,,,,72.2,6.3,0.0,8.4,17.7,133.1,528.6,1756.1,,,,,,,277.3660552,0.1214919208,0.364475762,0.243,15,,61.1092,12.924,25.9668,17.457,21.44,63.04,15.52,187,10.16042781,208,2660,187,54.71638985,,,0,4.32692,11.0577,32.2115,,,,,87,10.5698,1015,71.50921468,32.45878802,15.7939497,4.495201069,64.798,9.53559,22.7535,1.53888,9.92031,30.5304,35.147,24.4023,,,,0,,,,,,,79.4455,17.0821,27.8353,,0,,,,,,,,1.374,630,292,341,,229,270.2539299,0.4859676831,32,1,2404,29.22131828
Clifton-Berea,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"$25,738",49.0319,18.7071,14.6159,6.80825,10.84,,29.6909,45.360231," $ 20,000 ",32,63,33.0,1.4118,26.0,,1.2 ,"4,675",93.1373,1.960784314,,6.42,0.00,,54.5939,55.7405,0,114.6524064,29.94652406,12.45247,54.9929,,16.8118,36.7632,,,,,NA,0.607656,NA,NA,NA,,,,723,387,535,,98.54,0.55,0.61,18.3956,19.8966,46.9159,,,,,,30.51,34.45,24.80,58.06,9.65,45.54,40.6779661,46.77419355,52.68817204,29.72972973,2.242990654,65.09433962,,10.35548686,,,,69.90950226,35.98971722,87.32,80.28169014,38.73239437,141,5.0,,26.9868,,,1.4178651,,,,,67.2,14.7,3.1,29.3,55.9,182.5,392.7,1603.9,,,,,,,401.6609277,1.114036864,1.215312943,0.1013,1,,49.5769,12.1597,38.1714,19.6961,24.47,68.94,6.59,148,9.459459459,171,1384,160,48.62472336,,,0,7.60234,17.5439,32.1637,,,,,122,12.3557,673,82.20500272,32.33008103,126.8989265,3.443386672,49.1395,11.7539,32.7719,3.58843,15.855,36.6899,24.8627,22.5925,,,,33,,,,,,,63.3354,19.0818,44.2224,,0.128342246,,,,,,,,2.74625,707,378,522,,84,229.0470723,0.3038282358,12,3,1786,131.8651441
