id,name,short_name,section_name,short_source,description
1,Total Population,tpop,Socioeconomic/Demographics,Census,The total number of persons of all ages that live within an area. This indicator is frequently used to normalize data to allow for comparison across areas.
2,Total Male Population,male,Socioeconomic/Demographics,Census,The total number of men of all ages of all ages that live within an area.
3,Total Female Population,female,Socioeconomic/Demographics,Census,The total number of women of all ages that live within an area.
4,Percent of Residents - Black/African-American (Non-Hispanic),paa,Socioeconomic/Demographics,Census,The total number of persons that identify themselves as being racially Black or African American (and ethnically non-Hispanic) out of the total number of persons living in an area.  “Black or African American” refers to a person having origins in any of the Black racial groups of Africa. It includes people who indicated their race as “Black”.
5,Percent of Residents - White/Caucasian (Non-Hispanic),pwhite,Socioeconomic/Demographics,Census,"The total number of persons that identify themselves as being racially White (and ethnically non-Hispanic) out of the total number of persons living in an area.   “White” refers to a person having origins in any of the original peoples of Europe, the Middle East, or North Africa. It includes people who indicated their race(s) as “White”.   "
6,Percent of Residents - Asian (Non-Hispanic),pasi,Socioeconomic/Demographics,Census,"The total number of persons that identify themselves as being Asian (and non-Hispanic) out of the total number of persons living in an area.  “Asian” refers to a person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent, including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, the Philippine Islands, Thailand, and Vietnam. "
7,Percent of Residents - Two or More Races (Non-Hispanic),p2more,Socioeconomic/Demographics,Census,The total number of persons that identify themselves as being of two or more races (and non-Hispanic) out of the total number of persons living in an area.    
8,"Percent of Residents - All Other Races (Hawaiian/ Pacific Islander, Alaskan/ Native American Other Race) (Non-Hispanic)",ppac,Socioeconomic/Demographics,Census,"The total number of persons that identify themselves as being of either American Indian, Alaskan Native, Native Hawaiian or Other Pacific Islander, or some other race (non-Hispanic) out of the total number of persons living in an area. "
9,Percent of Residents - Hispanic,phisp,Socioeconomic/Demographics,Census,"The total number of persons that identify their ethnicity as being Hispanic or Latino out of the total number of persons living in an area. Hispanic origin can be viewed as the heritage, nationality group, lineage, or country of birth of the person or the person’s parents or ancestors before their arrival in the United States. People who identify their origin as Hispanic, Latino, or Spanish may be any race.  "
10,Racial Diversity Index,racdiv,Socioeconomic/Demographics,Census,"The percent chance that two people picked at random within an area will be of a different race/ethnicity.  This number does not reflect which race/ethnicity is predominant within an area.  The higher the value, the more racially and ethnically diverse an area.   "
11,Percent of Population 0-5 years old,age5_,Socioeconomic/Demographics,Census,The percent of persons 5 years or under out of all persons living in an area.
12,Percent of Population 6-18 years old,age18_,Socioeconomic/Demographics,Census,The percent of persons aged 6 to 18 years old out of all persons living in an area. 
13,Percent of Population 19-24 years old,age24_,Socioeconomic/Demographics,Census,The percent of persons aged 19 to 24 years old out of all persons living in an area.        
14,Percent of Population 25-64 years old,age64_,Socioeconomic/Demographics,Census,The percent of persons aged 25 to 64 years old out of all persons living in an area.        
15,Percent of Population 65 years and over,age65_,Socioeconomic/Demographics,Census,The total number of persons 65 years old and above out of all persons living in an area.        
16,Total Number of Households,hhs,Socioeconomic/Demographics,Census,"A household consists of all the people occupying a housing unit.  A household includes related and unrelated persons, if any, such as lodgers, foster children, wards, or employees who share the housing unit. A person living alone in a housing unit, or a group of unrelated people sharing a housing unit such as partners or roomers, is also counted as a household. The count of households excludes group quarters.        "
17,Percent of Female-Headed Households with Children Under 18,femhhs,Socioeconomic/Demographics,Census,The percentage of female-headed households with children under 18 out of all households with children under 18 in an area.        
18,Percent of Households with Children Under 18,fam,Socioeconomic/Demographics,Census,The percentage of households with children living in the household that are under the age of 18 out of all households.   
19,Average Household Size,hhsize,Socioeconomic/Demographics,Census,The median value of number of persons living within a household.  The average size of a household is obtained by dividing the number of persons in households by the number of households (or householders). 
20,Median Household Income,mhhi,Socioeconomic/Demographics,ACS,The median household income is the middle value of the incomes earned by households within an area for the prior year.  The median value is used as opposed to the average so that both extremely high and extremely low prices do not distort the total amount of income earned by households in an area.        
